instruction,input,output
When did the events related to 33 occur?,,"- MORNING 31 AHERN destroys the cryptography keys -- box-sized hard drives -- while BILL DAUGHERTY, 33, tosses stacks of papers into an electrical furnace."
What is the main point about VAULT?,,"31 IN THE VAULT - MORNING 31 AHERN destroys the cryptography keys -- box-sized hard drives -- while BILL DAUGHERTY, 33, tosses stacks of papers into an electrical furnace."
Who or what is Tom?,,"(CONTINUED) ARGO - Final 8. 31 CONTINUED: 31 BILL DAUGHERTY Well, Tom."
What is the main point about CONTINUED?,,"(CONTINUED) ARGO - Final 8. 31 CONTINUED: 31 BILL DAUGHERTY Well, Tom."
What is the main point about world?,,You wanted to see the world...
What is the main point about furnace?,,The furnace makes a LOUD CHUNK and stops.
What is the main point about looks?,,They both hold their looks for a beat.
What is the main point about BILL?,,BILL DAUGHERTY Are you kidding me? AHERN Get the shredder.
Who or what is INT?,,32 INT.
What is the main point about INT?,,32 INT.
Who or what is CHANCERY STAIRWELL LEADING?,,"CHANCERY STAIRWELL LEADING TO 2ND FLOOR - MORNING 32 BROTHER ALI, 20s, one of the student leaders, shouts as he holds a cloth near"
Who or what is ALI?,,"CHANCERY STAIRWELL LEADING TO 2ND FLOOR - MORNING 32 BROTHER ALI, 20s, one of the student leaders, shouts as he holds a cloth near his face to protect from tear gas."
When did the events related to 20s occur?,,"CHANCERY STAIRWELL LEADING TO 2ND FLOOR - MORNING 32 BROTHER ALI, 20s, one of the student leaders, shouts as he holds a cloth near his face to protect from tear gas."
What is the main point about CHANCERY?,,"CHANCERY STAIRWELL LEADING TO 2ND FLOOR - MORNING 32 BROTHER ALI, 20s, one of the student leaders, shouts as he holds a cloth near his face to protect from tear gas."
Who or what is INT?,,33 INT.
What is the main point about INT?,,33 INT.
Who or what is CHANCERY OFFICE - MORNING 33?,,CHANCERY OFFICE - MORNING 33 The mood is now frantic -- people destroying things or shouting everywhere -- ANN SWIFT No... Hal --
What is the main point about CHANCERY?,,"CHANCERY OFFICE - MORNING 33 The mood is now frantic -- people destroying things or shouting everywhere -- ANN SWIFT No... Hal -- yes -- INSIDE the building, IN -- 34 INT."
Who or what is Bob Anders?,,CONSULATE OFFICE - MORNING 34 Bob Anders SMASHES AMERICAN VISA PLATES.
Who or what is SMASHES AMERICAN?,,CONSULATE OFFICE - MORNING 34 Bob Anders SMASHES AMERICAN VISA PLATES.
What is the main point about CONSULATE?,,CONSULATE OFFICE - MORNING 34 Bob Anders SMASHES AMERICAN VISA PLATES.
What is the main point about visa?,,The visa-applicant Iranians are now huddled in a group.
What is the main point about couple?,,A couple of the women are wailing.
What is the main point about Improv?,,Improv resuming the debate over leaving.
Who or what is FARSI?,,"Lijek on his walkie, but every channel is now speaking FARSI."
What is the main point about Lijek?,,"Lijek on his walkie, but every channel is now speaking FARSI."
What is the main point about MARK?,,MARK LIJEK Nobody is coming.
When did the events related to 35 36 occur?,,35 OMITTED 35 36 INT.
Who or what is INT?,,35 OMITTED 35 36 INT.
What is the main point about INT?,,35 OMITTED 35 36 INT.
Who or what is Mark?,,CONSULATE OFFICE - MORNING 36 Mark gestures for the other six staffers -- and the twenty IRANIAN VISA SEEKERS in the office -- to head
What is the main point about CONSULATE?,,CONSULATE OFFICE - MORNING 36 Mark gestures for the other six staffers -- and the twenty IRANIAN VISA SEEKERS in the office -- to head to the stairwell.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 9.
What is the main point about CONTINUED?,,36 CONTINUED: 36 BOB ANDERS Iranians first.
What is the main point about moves?,,(as no one moves) Go! Now! 37 INT.
Who or what is CHANCERY - HALLWAY - MORNING?,,CHANCERY - HALLWAY - MORNING 37 One STUDENT emerges with a large portrait of KHOMEINI that had been used for dart practice.
Who or what is KHOMEINI?,,CHANCERY - HALLWAY - MORNING 37 One STUDENT emerges with a large portrait of KHOMEINI that had been used for dart practice.
What is the main point about CHANCERY?,,CHANCERY - HALLWAY - MORNING 37 One STUDENT emerges with a large portrait of KHOMEINI that had been used for dart practice.
Who or what is EMBASSY?,,STUDENT (SCREAMING) Who has made this!!! Two EMBASSY EMPLOYEES look at the floor.
What is the main point about STUDENT?,,STUDENT (SCREAMING) Who has made this!!! Two EMBASSY EMPLOYEES look at the floor.
What is the main point about INT?,,38 INT.
What is the main point about CONSULATE?,,CONSULATE STAIRWELL - MORNING 38 The twenty VISA-SEEKING IRANIANS pass our guys and run down the stairs out onto the street and disperse outside.
What is the main point about CONSULATE?,,"Behind them, the FIVE CONSULATE EMPLOYEES we saw head down the stairs."
Who or what is CORA LIJEK?,,"So the group of SIX is: MARK AND CORA LIJEK, J AND KATHY STAFFORD, and BOB ANDERS."
What is the main point about group?,,"So the group of SIX is: MARK AND CORA LIJEK, J AND KATHY STAFFORD, and BOB ANDERS."
What is the main point about bottom?,,They get to the bottom of the stairs.
Who or what is INT?,,39 INT.
What is the main point about INT?,,39 INT.
Who or what is CHANCERY OFFICE - MORNING?,,"CHANCERY OFFICE - MORNING 39 The students, guns drawn, burst into the Chancery Office, shouting at Ann Swift and the others."
Who or what is the Chancery Office?,,"CHANCERY OFFICE - MORNING 39 The students, guns drawn, burst into the Chancery Office, shouting at Ann Swift and the others."
What is the main point about CHANCERY?,,"CHANCERY OFFICE - MORNING 39 The students, guns drawn, burst into the Chancery Office, shouting at Ann Swift and the others."
What is the main point about mood?,,The mood among the staffers is now almost peaceful.
What is the main point about ANN?,,ANN SWIFT (into the phone) It's done.
What is the main point about phone?,,She puts down the phone.
Who or what is EXT?,,40 EXT.
What is the main point about EXT?,,40 EXT.
Who or what is BIST METRI STREET - MORNING 40?,,BIST METRI STREET - MORNING 40 The It's quiet -- the sound of the protest on the other side of the roof and the embassy campus is distant.
What is the main point about BIST?,,BIST METRI STREET - MORNING 40 The It's quiet -- the sound of the protest on the other side of the roof and the embassy campus is distant.
What is the main point about street?,,Just the empty street.
What is the main point about ground?,,"On the ground: discarded banners from the protest, fliers and newspapers."
What is the main point about BLOOD?,,We see something that looks like BLOOD on the street.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 10.
What is the main point about CONTINUED?,,40 CONTINUED: 40 They walk west.
What is the main point about care?,,They're hurrying but taking care not to run.
Who or what is Farsi?,,The five can hear the gunfire and shouting in Farsi.
What is the main point about gunfire?,,The five can hear the gunfire and shouting in Farsi.
What is the main point about street?,,"They walk up the street, away from the sounds of the protest, instinctively grouping together."
Who or what is Cora?,,Cora looks back.
What is the main point about Cora?,,Cora looks back.
What is the main point about BOB?,,BOB ANDERS Keep going.
Who or what is INT?,,41-45 OMITTED 41-45 46 INT.
What is the main point about INT?,,41-45 OMITTED 41-45 46 INT.
Who or what is STATE DEPARTMENT HALL - SEVENTH FLOOR - NIGHT?,,"STATE DEPARTMENT HALL - SEVENTH FLOOR - NIGHT 46 Halfway around the world, hell has broken loose here, too."
Who or what is Halfway?,,"STATE DEPARTMENT HALL - SEVENTH FLOOR - NIGHT 46 Halfway around the world, hell has broken loose here, too."
What is the main point about STATE?,,"STATE DEPARTMENT HALL - SEVENTH FLOOR - NIGHT 46 Halfway around the world, hell has broken loose here, too."
Who or what is BATES?,,"BATES and MALICK, 30s, State Department mid-level aides."
When did the events related to 30s occur?,,"BATES and MALICK, 30s, State Department mid-level aides."
Who or what is State Department?,,"BATES and MALICK, 30s, State Department mid-level aides."
What is the main point about BATES?,,"BATES and MALICK, 30s, State Department mid-level aides."
What is the main point about cascade?,,A cascade of voices and energy -- a reverberation from the embassy siege -- the building exploding into a crisis center.
Who or what is BATES?,,"BATES MALICK These fucks can hit us, we Mossadeq."
Who or what is Mossadeq?,,"BATES MALICK These fucks can hit us, we Mossadeq."
What is the main point about BATES?,,"BATES MALICK These fucks can hit us, we Mossadeq."
Who or what is BATES?,,"BATES You think the Russians would put up with this? They'd fucking INVADE -- ROBERT PENDER, 40s, joins them"
Who or what is ROBERT PENDER?,,"BATES You think the Russians would put up with this? They'd fucking INVADE -- ROBERT PENDER, 40s, joins them heading down the hall."
When did the events related to 40s occur?,,"BATES You think the Russians would put up with this? They'd fucking INVADE -- ROBERT PENDER, 40s, joins them heading down the hall."
What is the main point about BATES?,,"BATES You think the Russians would put up with this? They'd fucking INVADE -- ROBERT PENDER, 40s, joins them heading down the hall."
What is the main point about call?,,They've all gotten the same call to get to the Secretary's office.
Who or what is PETER GENCO?,,"PETER GENCO, late 20s, behind."
When did the events related to late 20s occur?,,"PETER GENCO, late 20s, behind."
What is the main point about PETER?,,"PETER GENCO, late 20s, behind."
What is the main point about MALICK?,,MALICK PENDER What did you expect? We (turning behind him) helped a guy torture and de- Schafer! Schafer! ball an entire population -- BRICE At least 60.
Who or what is GENCO?,,"Could be a hundred. GENCO (catching up to them) You still haven't found Schafer? PENDER (TO GENCO) No, I was screaming his name"
What is the main point about GENCO?,,"Could be a hundred. GENCO (catching up to them) You still haven't found Schafer? PENDER (TO GENCO) No, I was screaming his name cause I was fucking him."
When did the events related to late 40s occur?,,"HAL SAUNDERS, late 40s, Assistant Secretary of State for Near Eastern Affairs, perpetually stressed, coming out of his office,"
Who or what is State for Near Eastern Affairs?,,"HAL SAUNDERS, late 40s, Assistant Secretary of State for Near Eastern Affairs, perpetually stressed, coming out of his office, out of breath -- (CONTINUED) ARGO - Final 11."
What is the main point about HAL?,,"HAL SAUNDERS, late 40s, Assistant Secretary of State for Near Eastern Affairs, perpetually stressed, coming out of his office, out of breath -- (CONTINUED) ARGO - Final 11."
What is the main point about CONTINUED?,,46 CONTINUED: 46 SAUNDERS Six got out! 47 OMITTED 47 47A INT.
Who or what is PHOTOGRAPHS?,,SECRETARY OF STATE'S OFFICE - NIGHT 47A STAPLED PAGES with PHOTOGRAPHS.
What is the main point about SECRETARY?,,SECRETARY OF STATE'S OFFICE - NIGHT 47A STAPLED PAGES with PHOTOGRAPHS.
When did the events related to 62 occur?,,"In the hands of SECRETARY OF STATE CYRUS VANCE, 62, a former Navy man who is used to telling important people what to do."
Who or what is Navy?,,"In the hands of SECRETARY OF STATE CYRUS VANCE, 62, a former Navy man who is used to telling important people what to do."
What is the main point about hands?,,"In the hands of SECRETARY OF STATE CYRUS VANCE, 62, a former Navy man who is used to telling important people what to do."
What is the main point about HALLWAY?,,EVERYONE FROM THE PREVIOUS HALLWAY SCENE is here in attendance as well.
Who or what is VANCE?,,VANCE I was told five.
What is the main point about VANCE?,,VANCE I was told five.
Who or what is BATES?,,BATES Apparently it's six now.
What is the main point about BATES?,,BATES Apparently it's six now.
Who or what is VANCE?,,VANCE What happened? PENDER Not clear.
What is the main point about VANCE?,,VANCE What happened? PENDER Not clear.
What is the main point about embassy?,,We know they escaped the embassy.
Who or what is VANCE?,,VANCE Where are they? SAUNDERS The Canadian Ambassador's house.
What is the main point about VANCE?,,VANCE Where are they? SAUNDERS The Canadian Ambassador's house.
Who or what is BATES?,,BATES Are we attempting rescue? BRICE Hold for the Secretary -- VANCE (HANDED ANOTHER PHONE) -- there's no
Who or what is VANCE?,,BATES Are we attempting rescue? BRICE Hold for the Secretary -- VANCE (HANDED ANOTHER PHONE) -- there's no one -- this is he... (to an aide) Can we get Ottawa patched? Five
Who or what is PHONE?,,BATES Are we attempting rescue? BRICE Hold for the Secretary -- VANCE (HANDED ANOTHER PHONE) -- there's no one -- this is he... (to an aide) Can we get Ottawa patched? Five phones and none of
Who or what is Ottawa?,,Secretary -- VANCE (HANDED ANOTHER PHONE) -- there's no one -- this is he... (to an aide) Can we get Ottawa patched? Five phones and none of them work.
What is the main point about BATES?,,BATES Are we attempting rescue? BRICE Hold for the Secretary -- VANCE (HANDED ANOTHER PHONE) -- there's no one -- this is he... (to an aide) Can we get Ottawa patched? Five phones and none of them work.
Who or what is VANCE?,,Coming back -- on phone -- VANCE Is White House joining? ARGO - Final 12.
Who or what is White House?,,Coming back -- on phone -- VANCE Is White House joining? ARGO - Final 12.
What is the main point about phone?,,Coming back -- on phone -- VANCE Is White House joining? ARGO - Final 12.
What is the main point about INT?,,48 INT.
Who or what is WHITE HOUSE - WEST WING - NIGHT?,,"WHITE HOUSE - WEST WING - NIGHT 48 HAMILTON JORDAN, 40s, Carter's White House Chief of Staff, comes up stairs, trailed by AIDES."
When did the events related to 48 occur?,,"WHITE HOUSE - WEST WING - NIGHT 48 HAMILTON JORDAN, 40s, Carter's White House Chief of Staff, comes up stairs, trailed by AIDES."
